,importance,category,observation,journey_start_time,direction,stop_name,is_suppressed
0,Critical,Timing,First stop is not a timing point,06:45,Outbound,Tesco (0590PTX04),
1,Critical,Timing,First stop is not a timing point,09:37,Outbound,Tesco (2090A20177),
2,Critical,Timing,First stop is not a timing point,11:11,Outbound,Tesco (2090A20177),
3,Critical,Timing,First stop is not a timing point,13:11,Outbound,Tesco (2090A20177),
4,Critical,Timing,First stop is not a timing point,15:11,Outbound,Tesco (2090A20177),
5,Critical,Timing,First stop is not a timing point,07:20,Inbound,Country Bus Station (2090A19676),
6,Critical,Timing,Last stop is not a timing point,06:45,Outbound,Country Bus Station (2090A19676),
7,Critical,Timing,Last stop is not a timing point,09:37,Outbound,Country Bus Station (2090A19676),
8,Critical,Timing,Last stop is not a timing point,11:11,Outbound,Country Bus Station (2090A19676),
9,Critical,Timing,Last stop is not a timing point,13:11,Outbound,Country Bus Station (2090A19676),
10,Critical,Timing,Last stop is not a timing point,15:11,Outbound,Country Bus Station (2090A19676),
11,Critical,Timing,Last stop is not a timing point,07:20,Inbound,John Masefield School (2090A203100),
12,Critical,Timing,Last stop is not a timing point,08:30,Inbound,St Mary's RC School (2090A148100),
13,Critical,Stop,Incorrect stop type,15:00,Inbound,Tesco (0590PTX04),True
14,Critical,Stop,Incorrect stop type,06:45,Outbound,Tesco (0590PTX04),
15,Critical,Stop,Incorrect stop type,11:00,Outbound,Tesco (0590PTX04),
16,Critical,Stop,Incorrect stop type,13:00,Outbound,Tesco (0590PTX04),
17,Critical,Stop,Incorrect stop type,18:30,Outbound,Tesco (0590PTX04),
18,Critical,Stop,Incorrect stop type,20:00,Outbound,Tesco (0590PTX04),
19,Critical,Stop,Incorrect stop type,15:00,Outbound,Tesco (0590PTX04),
20,Critical,Stop,Incorrect stop type,08:30,Inbound,Tesco (0590PTX04),
21,Critical,Stop,Incorrect stop type,09:25,Outbound,Tesco (0590PTX04),
22,Critical,Stop,Incorrect stop type,17:00,Outbound,Tesco (0590PTX04),
23,Critical,Stop,Incorrect stop type,19:15,Inbound,Tesco (0590PTX04),
24,Critical,Stop,Incorrect stop type,23:15,Inbound,Tesco (0590PTX04),
25,Critical,Stop,Incorrect stop type,10:15,Inbound,Tesco (0590PTX04),
26,Critical,Stop,Incorrect stop type,14:15,Inbound,Tesco (0590PTX04),
27,Critical,Stop,Incorrect stop type,16:15,Inbound,Tesco (0590PTX04),
28,Critical,Stop,Incorrect stop type,07:35,Outbound,Tesco (0590PTX04),
31,Critical,Stop,Incorrect stop type,21:30,Inbound,Tesco (0590PTX04),
32,Critical,Stop,Incorrect stop type,17:50,Inbound,Tesco (0590PTX04),
33,Critical,Stop,Incorrect stop type,12:15,Inbound,Tesco (0590PTX04),True
34,Critical,Journey,Missing journey code,06:45,Outbound,Tesco (0590PTX04),
35,Critical,Journey,Missing journey code,06:45,Outbound,Bramley Close (2090A20160),
36,Critical,Journey,Missing journey code,06:45,Outbound,Aminah synthetic stop (),
37,Critical,Journey,Missing journey code,06:45,Outbound,Orchard Place (2090A20162),
38,Critical,Journey,Missing journey code,06:45,Outbound,Dunns Copse (2090A20164),
39,Critical,Journey,Missing journey code,06:45,Outbound,The Southend (2090A20169),
40,Critical,Journey,Missing journey code,06:45,Outbound,Memorial (2090A044400),
41,Critical,Journey,Missing journey code,06:45,Outbound,Old Hospital (2090A20173),
42,Critical,Journey,Missing journey code,06:45,Outbound,Tesco (2090A20177),
43,Critical,Journey,Missing journey code,06:45,Outbound,Railway Station (2090A044302),
44,Critical,Journey,Missing journey code,06:45,Outbound,Golding Way (2090A20206),
45,Critical,Journey,Missing journey code,06:45,Outbound,Baynham's Farm (2090A028650),
46,Critical,Journey,Missing journey code,06:45,Outbound,Falcon Lane (2090A20202),
47,Critical,Journey,Missing journey code,06:45,Outbound,The Verzons (2090A028654),
48,Critical,Journey,Missing journey code,06:45,Outbound,Little Verzons (2090A028658),
49,Critical,Journey,Missing journey code,06:45,Outbound,Munsley Turn (2090A028662),
50,Critical,Journey,Missing journey code,06:45,Outbound,Trumpet Inn (2090A071802),
51,Critical,Journey,Missing journey code,06:45,Outbound,Poolend (2090A20198),
52,Critical,Journey,Missing journey code,06:45,Outbound,Alexander Park (2090A028666),
53,Critical,Journey,Missing journey code,06:45,Outbound,Garbrook (2090A20918),
54,Critical,Journey,Missing journey code,06:45,Outbound,Little Tarrington Turn (2090A028670),
55,Critical,Journey,Missing journey code,06:45,Outbound,Tarrington Arms (2090A041302),
56,Critical,Journey,Missing journey code,06:45,Outbound,Tarrington Common Turn (2090A028674),
57,Critical,Journey,Missing journey code,06:45,Outbound,Perton Turn (2090A20196),
58,Critical,Journey,Missing journey code,06:45,Outbound,Main Road (2090A071700),
59,Critical,Journey,Missing journey code,06:45,Outbound,Frome Park (2090A20190),
60,Critical,Journey,Missing journey code,06:45,Outbound,Crossroads (2090A041400),
61,Critical,Journey,Missing journey code,06:45,Outbound,New Inn (2090A20187),
62,Critical,Journey,Missing journey code,06:45,Outbound,Village Hall (2090A20922),
63,Critical,Journey,Missing journey code,06:45,Outbound,Church (2090A041500),
64,Critical,Journey,Missing journey code,06:45,Outbound,Court Orchard (2090A041501),
65,Critical,Journey,Missing journey code,06:45,Outbound,Cock of Tupsley (2090A146800),
66,Critical,Journey,Missing journey code,06:45,Outbound,Farr Close (2090A028634),
67,Critical,Journey,Missing journey code,06:45,Outbound,Tupsley Cross (2090A19519),
68,Critical,Journey,Missing journey code,06:45,Outbound,Hereford Colleges (2090A146701),
69,Critical,Journey,Missing journey code,06:45,Outbound,Moreland Avenue (2090A19211),
70,Critical,Journey,Missing journey code,06:45,Outbound,Station Approach Bridge (2090A19689),
71,Critical,Journey,Missing journey code,06:45,Outbound,Country Bus Station (2090A19676),
72,Critical,Journey,Duplicate journey code,13:00,Outbound,Tesco (0590PTX04),
73,Critical,Journey,Duplicate journey code,18:30,Outbound,Tesco (0590PTX04),
74,Critical,Stop,Stop not found in NaPTAN,06:45,Outbound,Aminah synthetic stop (),
75,Critical,Stop,Stop not found in NaPTAN,11:00,Outbound,Aminah synthetic stop (),
76,Critical,Stop,Stop not found in NaPTAN,13:00,Outbound,Aminah synthetic stop (),
77,Critical,Stop,Stop not found in NaPTAN,18:30,Outbound,Aminah synthetic stop (),
78,Critical,Stop,Stop not found in NaPTAN,20:00,Outbound,Aminah synthetic stop (),
79,Critical,Stop,Stop not found in NaPTAN,15:00,Outbound,Aminah synthetic stop (),
80,Critical,Stop,Stop not found in NaPTAN,09:25,Outbound,Aminah synthetic stop (),
81,Critical,Stop,Stop not found in NaPTAN,17:00,Outbound,Aminah synthetic stop (),
82,Critical,Stop,Stop not found in NaPTAN,07:35,Outbound,Aminah synthetic stop (),
84,Critical,Data set,Incorrect NOC,:,, (),True
85,Critical,Stop,First stop is set down only,06:45,Outbound,Tesco (0590PTX04),True
86,Critical,Stop,First stop is set down only,20:00,Outbound,Tesco (0590PTX04),True
87,Critical,Stop,First stop is set down only,15:00,Outbound,Tesco (0590PTX04),
88,Critical,Stop,First stop is set down only,11:00,Outbound,Tesco (0590PTX04),True
89,Critical,Stop,First stop is set down only,13:00,Outbound,Tesco (0590PTX04),
90,Critical,Stop,First stop is set down only,18:30,Outbound,Tesco (0590PTX04),True
91,Critical,Stop,First stop is set down only,09:37,Outbound,Tesco (2090A20177),
92,Critical,Stop,First stop is set down only,11:11,Outbound,Tesco (2090A20177),
93,Critical,Stop,First stop is set down only,13:11,Outbound,Tesco (2090A20177),
94,Critical,Stop,First stop is set down only,15:11,Outbound,Tesco (2090A20177),
95,Advisory,Stop,Last stop is pick up only,09:37,Outbound,Country Bus Station (2090A19676),True
96,Advisory,Stop,Last stop is pick up only,13:11,Outbound,Country Bus Station (2090A19676),True
97,Advisory,Stop,Last stop is pick up only,06:45,Outbound,Country Bus Station (2090A19676),True
98,Advisory,Stop,Last stop is pick up only,15:11,Outbound,Country Bus Station (2090A19676),True
99,Advisory,Stop,Last stop is pick up only,11:11,Outbound,Country Bus Station (2090A19676),True
100,Advisory,Stop,Last stop is pick up only,08:30,Inbound,St Mary's RC School (2090A148100),True
101,Advisory,Data set,Incorrect licence number,:,, (),True
102,Advisory,Timing,No timing point for more than 15 minutes,15:00,Inbound,Court Orchard (2090A20183),False
103,Advisory,Timing,No timing point for more than 15 minutes,15:00,Inbound,Crossroads (2090A041401),False
104,Advisory,Timing,No timing point for more than 15 minutes,07:20,Inbound,Telephone Box (2090A18747),False
105,Advisory,Timing,No timing point for more than 15 minutes,08:20,Outbound,Country Bus Station (2090A19676),False
106,Critical,Data set,Cancelled service incorrectly appearing as active,:,, (),
